Number Killed,Mental Illness Count,Trauma Count,mental_state_stats
15,5,8,13
5,2,4,6
6,6,4,10
7,2,2,4
4,6,5,11
4,2,3,5
4,3,4,7
6,2,2,4
7,8,5,13
5,3,5,8
7,9,4,13
5,2,2,4
6,6,4,10
6,5,5,10
4,4,1,5
5,0,0,0
5,5,4,9
4,4,2,6
4,2,2,4
5,0,0,0
4,1,2,3
6,3,3,6
8,9,3,12
4,4,2,6
6,3,4,7
6,4,2,6
8,0,1,1
6,3,5,8
21,3,5,8
5,4,3,7
4,3,3,6
14,5,3,8
6,8,6,14
7,7,4,11
4,6,4,10
4,7,1,8
5,7,8,15
9,10,5,15
11,5,3,8
4,2,3,5
23,9,5,14
5,6,2,8
4,6,3,9
4,5,6,11
4,3,9,12
4,5,11,16
4,4,3,7
6,8,3,11
8,5,3,8
4,3,3,6
4,4,3,7
4,4,2,6
6,9,5,14
4,7,8,15
4,6,6,12
5,0,1,1
5,2,2,4
4,3,5,8
5,5,1,6
5,3,3,6
5,2,2,4
4,7,4,11
4,4,3,7
4,4,3,7
4,4,2,6
4,7,3,10
5,0,1,1
5,7,7,14
4,7,6,13
4,9,4,13
13,5,2,7
13,6,4,10
4,5,8,13
12,8,3,11
7,9,4,13
7,8,3,11
5,0,1,1
5,2,7,9
5,8,1,9
7,6,5,11
4,5,3,8
4,2,3,5
4,4,2,6
5,5,10,15
4,5,3,8
4,5,3,8
6,5,2,7
6,5,3,8
4,6,3,9
5,0,1,1
6,2,4,6
4,10,7,17
4,4,7,11
7,5,9,14
9,8,11,19
4,2,2,4
7,4,2,6
6,2,5,7
5,5,2,7
5,1,2,3
5,0,2,2
32,8,3,11
8,9,8,17
4,6,5,11
6,6,4,10
5,8,4,12
4,4,3,7
5,6,3,9
6,11,5,16
8,6,3,9
13,6,4,10
4,0,1,1
13,3,4,7
4,6,5,11
4,0,2,2
4,4,2,6
8,3,3,6
4,0,2,2
5,5,4,9
6,10,4,14
7,4,3,7
4,4,2,6
8,7,6,13
7,6,3,9
5,6,2,8
12,8,3,11
6,2,4,6
6,8,3,11
27,7,6,13
4,3,3,6
4,2,3,5
5,6,8,14
6,7,4,11
12,8,3,11
4,4,3,7
6,9,4,13
4,7,6,13
9,9,6,15
5,5,7,12
9,8,4,12
6,8,9,17
14,0,5,5
14,0,0,0
6,1,2,3
49,3,7,10
5,4,5,9
5,10,8,18
5,4,3,7
4,0,1,1
4,5,3,8
5,3,5,8
58,4,5,9
25,7,5,12
5,7,4,11
4,3,2,5
17,9,6,15
4,2,1,3
4,9,3,12
10,0,3,3
5,7,5,12
5,5,3,8
11,3,5,8
12,7,5,12
5,3,4,7
5,4,3,7
12,6,4,10
23,2,7,9
9,7,3,10
7,6,4,10
4,6,3,9
4,4,2,6
5,4,4,8
4,5,1,6
8,5,4,9
10,3,2,5
4,0,1,1
8,7,7,14
9,8,3,11
4,1,4,5
10,2,2,4
