Number Killed,Mental Illness Count,Trauma Count,mental_state_stats
15,5.0,8.0,13.0
5,2.0,4.0,6.0
6,6.0,4.0,10.0
7,2.0,2.0,4.0
4,6.0,5.0,11.0
4,2.0,3.0,5.0
4,3.0,4.0,7.0
6,2.0,2.0,4.0
7,8.0,5.0,13.0
5,3.0,5.0,8.0
7,9.0,4.0,13.0
5,2.0,2.0,4.0
6,6.0,4.0,10.0
6,5.0,5.0,10.0
4,4.0,1.0,5.0
5,0.0,0.0,0.0
5,5.0,4.0,9.0
4,4.0,2.0,6.0
4,2.0,2.0,4.0
5,0.0,0.0,0.0
4,1.0,2.0,3.0
6,3.0,3.0,6.0
8,9.0,3.0,12.0
4,4.0,2.0,6.0
6,3.0,4.0,7.0
6,4.0,2.0,6.0
8,0.0,1.0,1.0
6,3.0,5.0,8.0
21,3.0,5.0,8.0
5,4.0,3.0,7.0
4,3.0,3.0,6.0
14,5.0,3.0,8.0
6,8.0,6.0,14.0
7,7.0,4.0,11.0
4,6.0,4.0,10.0
4,7.0,1.0,8.0
5,7.0,8.0,15.0
9,10.0,5.0,15.0
11,5.0,3.0,8.0
4,2.0,3.0,5.0
23,9.0,5.0,14.0
5,6.0,2.0,8.0
4,6.0,3.0,9.0
4,5.0,6.0,11.0
4,3.0,9.0,12.0
4,5.0,11.0,16.0
4,4.0,3.0,7.0
6,8.0,3.0,11.0
8,5.0,3.0,8.0
4,3.0,3.0,6.0
4,4.0,3.0,7.0
4,4.0,2.0,6.0
6,9.0,5.0,14.0
4,7.0,8.0,15.0
4,6.0,6.0,12.0
5,0.0,1.0,1.0
5,2.0,2.0,4.0
4,3.0,5.0,8.0
5,5.0,1.0,6.0
5,3.0,3.0,6.0
5,2.0,2.0,4.0
4,7.0,4.0,11.0
4,4.0,3.0,7.0
4,4.0,3.0,7.0
4,4.0,2.0,6.0
4,7.0,3.0,10.0
5,0.0,1.0,1.0
5,7.0,7.0,14.0
4,7.0,6.0,13.0
4,9.0,4.0,13.0
13,5.0,2.0,7.0
13,6.0,4.0,10.0
4,5.0,8.0,13.0
12,8.0,3.0,11.0
7,9.0,4.0,13.0
7,8.0,3.0,11.0
5,0.0,1.0,1.0
5,2.0,7.0,9.0
5,8.0,1.0,9.0
7,6.0,5.0,11.0
4,5.0,3.0,8.0
4,2.0,3.0,5.0
4,4.0,2.0,6.0
5,5.0,10.0,15.0
4,5.0,3.0,8.0
4,5.0,3.0,8.0
6,5.0,2.0,7.0
6,5.0,3.0,8.0
4,6.0,3.0,9.0
5,0.0,1.0,1.0
6,2.0,4.0,6.0
4,10.0,7.0,17.0
4,4.0,7.0,11.0
7,5.0,9.0,14.0
9,8.0,11.0,19.0
4,2.0,2.0,4.0
7,4.0,2.0,6.0
6,2.0,5.0,7.0
5,5.0,2.0,7.0
5,1.0,2.0,3.0
5,0.0,2.0,2.0
32,8.0,3.0,11.0
8,9.0,8.0,17.0
4,6.0,5.0,11.0
6,6.0,4.0,10.0
5,8.0,4.0,12.0
4,4.0,3.0,7.0
5,6.0,3.0,9.0
6,11.0,5.0,16.0
8,6.0,3.0,9.0
13,6.0,4.0,10.0
4,0.0,1.0,1.0
13,3.0,4.0,7.0
4,6.0,5.0,11.0
4,0.0,2.0,2.0
4,4.0,2.0,6.0
8,3.0,3.0,6.0
4,0.0,2.0,2.0
5,5.0,4.0,9.0
6,10.0,4.0,14.0
7,4.0,3.0,7.0
4,4.0,2.0,6.0
8,7.0,6.0,13.0
7,6.0,3.0,9.0
5,6.0,2.0,8.0
12,8.0,3.0,11.0
6,2.0,4.0,6.0
6,8.0,3.0,11.0
27,7.0,6.0,13.0
4,3.0,3.0,6.0
4,2.0,3.0,5.0
5,6.0,8.0,14.0
6,7.0,4.0,11.0
12,8.0,3.0,11.0
4,4.0,3.0,7.0
6,9.0,4.0,13.0
4,7.0,6.0,13.0
9,9.0,6.0,15.0
5,5.0,7.0,12.0
9,8.0,4.0,12.0
6,8.0,9.0,17.0
14,0.0,5.0,5.0
14,0.0,0.0,0.0
6,1.0,2.0,3.0
49,3.0,7.0,10.0
5,4.0,5.0,9.0
5,10.0,8.0,18.0
5,4.0,3.0,7.0
4,0.0,1.0,1.0
4,5.0,3.0,8.0
5,3.0,5.0,8.0
58,4.0,5.0,9.0
25,7.0,5.0,12.0
5,7.0,4.0,11.0
4,3.0,2.0,5.0
17,9.0,6.0,15.0
4,2.0,1.0,3.0
4,9.0,3.0,12.0
10,0.0,3.0,3.0
5,7.0,5.0,12.0
5,5.0,3.0,8.0
11,3.0,5.0,8.0
12,7.0,5.0,12.0
5,3.0,4.0,7.0
5,4.0,3.0,7.0
12,6.0,4.0,10.0
23,2.0,7.0,9.0
9,7.0,3.0,10.0
7,6.0,4.0,10.0
4,6.0,3.0,9.0
4,4.0,2.0,6.0
5,4.0,4.0,8.0
4,5.0,1.0,6.0
8,5.0,4.0,9.0
10,3.0,2.0,5.0
4,0.0,1.0,1.0
8,7.0,7.0,14.0
9,8.0,3.0,11.0
4,1.0,4.0,5.0
10,2.0,2.0,4.0
